key,tet
title,Matadalan kona-ba Kolesaun Dadus Peskas no Komunidade
subtitle,Matadalan lalais ida ba enkuadramentu no protokolu sira kona-ba kolesaun dadus levantamentu KoboToolBox nian.
intro,Introdusaun
p1,Matadalan lalais ne'e fornese orientasaun pasu-ba- pasu atu halibur no omologa dadus peska no komunidade liuhosi sistema. Matadalan ida-ne'e rezumu prosesu halibur dadus no deskreve protokolu sira atu atualiza arkivu referénsia no tabela kontrolu kualidade.
p2,"Ami dezenvolve formuláriu peskiza haat atu halibur dadus kona-ba peska no peska komunidade sira. Deskrisaun levantamentu detalladu bele hetan iha matadalan kompletu iha lian Ingles, Lian Indonezia, Cebuano, Fransa, Tagalog, Swahili, Malagazi, Espana, Portuges no Tetun."
p3,"Peskiza Monitorizasaun Rai nian kaptura dadus mínimu, idealmente loron-loron ka dala barak liu, ne'ebé presiza hodi halo monitorizasaun ba tendénsia sira iha produsaun peska nian ba tempu naruk, kompozisaun espésie sira, no valór kapturasaun nian. Peskiza ida-ne'e bele tulun avalia efeitu husi enserramentu peska ka estratéjia jestaun sira seluk liu husi kompara dadus molok no hafoin implementasaun. Peskiza ne'e badak no amigavel ba utilizadór hodi permite kolesaun dadus ne'ebé konsistente no konsistente liu."
p4,"Peskiza Profiling Rai nian halibur dadus peska detalladu kona-ba sasán, esforsu, no sa'e ikan individuál ka invertebradu hamutuk ho informasaun espesializadu ba espésie espesífiku sira hanesan seksu, kualidade kaptura, dadus estilu, no maturidade manu-tolun. Kualidade kaer oktopu inklui métodu armazenamentu, kór, númeru tentasaun, abrasoens fíziku, kualidade beik, no kondisaun kulit. Dadus estilu oktopu inklui amostra fotografia no sirkunstánsia kresimentu. Dadus kona-ba maturidade manu-tolun konta kona-ba manu-tolun nia todan, kór, faze, naruk, no liña iha manu-tolun nia okos. Dadus hirak-ne'e komplementa dadus monitorizasaun no ajuda parseiru sira atu komprende di'ak liu tan tendénsia kapturasaun ne'ebé observa ona iha produsaun peska no efeitu sira husi jestaun peska. Peskiza ne'e dezeña atu hala'o iha inísiu envolvimentu iha komunidade ida no tuir mai hala'o kada tinan ida to'o tinan rua, molok no hafoin implementa estratéjia jestaun nian, ka tuir nesesidade atu esplika mudansa sira iha kapturasaun ne'ebé observa liuhosi dadus monitorizasaun nian."
p5,"Peskiza Profiling Komunidade halibur kompriensaun komprehensivu ida kona-ba paizajen sosio-ekonomiku no peska komunidade nian. Peskiza ne'e uza bainhira ulukliu envolve ho komunidade ida no repete bainhira apropriadu atu dokumentasaun mudansa boot iha hahalok peska, persepsaun peskadór, no jestaun rekursu. Frekuénsia levantamentu sei depende ba ámbitu projetu (ezemplu, bainhira hein katak mudansa sei akontese)."
p6,"Peskiza Peskas Uma-kain nian kaptura informasaun detalladu kona-ba peskadór uma-kain nian, hanesan persepsaun nivel uma-kain nian kona-ba atividade sira ne'ebé relasiona ho peska, fonte rendimentu, atividade loroloron nian, espésie ikan prinsipál sira ne'ebé kaer, dependénsia ba ikan ba ai-han, no atividade peska. Peskiza ne'e uza bainhira ulukliu envolve ho komunidade ida no repete kada tinan rua to'o tinan lima ka hafoin jestaun intervensaun sira atu dokumenta mudansa iha hahalok peska, persepsaun peskadór, efikásia jestaun, seguransa ai-han, konfiansa, no igualdade jéneru."
steps,Pasu sira atu uza formuláriu KoboToolbox
step1,Prepara dadus referénsia
1a,"Dadus referénsia sira bele atualiza liu husi telemovel no iha informasaun komprehensivu kona-ba nivel administrativu komunidade peska sira-nian (nasaun, provínsia, distritu/municipalidade, suku/komunidade), fatin ba rai-maran, peskadór, sosa-nain, koletor dadus, dadus espésie, área jestaun, tipu habitat, tipu gear, no organizasaun parseria."
1b,Dadus referénsia sira uza atu halo lista dropdown iha formuláriu levantamentu KoboToolBox no hamutuk ho dadus adisionál sira ne'ebé presiza ba análize hanesan koordenadu suku no peskadór jéneru.
1c,"Atualiza dadus referénsia ho espésie foun, peskadór sira, sosa-nain sira, fatin ba rai, suku sira, no seluk tan ne'ebé presiza atu halibur dadus iha área foun sira."
1d,Importante tebes katak arkivu hirak-ne'e atualiza ona atu bele halibur dadus no analiza ho diak. Fail referénsia sira-ne'e hatama ba kóbo kada oras 12-24.
step2,Estabelese Konta KoboToolbox
2a,Peskiza hotu-hotu administra liuhosi uza formuláriu KoboToolBox. Formuláriu levantamentu ida-idak bele fahe ho konta KoboToolBox.
2b,Estabelese Ita-nia Konta Kobo Toolbox iha server jerál iha https://kf.kobotoolbox.org/accounts/signup/
2c,Favór kontaktu ekipa ho ita-boot nia informasaun kona-ba konta Kobo no naran utilizadór atu nune'e bele fahe formuláriu ne'ebé apropriadu ho ita-boot nia konta.
step3,Download aplikasaun KoboCollect.
3a,Formuláriu Kobo bele hetan asesu liu husi aplikasaun telemovel Android ne'ebé gratuita ka liu husi formuláriu Enketo.
step4,Formuláriu todan iha KoboCollect App. Haree Setup Kobo atu hetan matadalan adisionál.
4a,"Bainhira download tiha aplikasaun nee, estabelese server URL, Naran Naran no Liafuan Lia-bosok, ne'ebé liga ita-nia aplikasaun KoboCollect ba server KoboToolbox. Ida ne'e permite ita atu download formuláriu sira ne'ebé implementa husi KoboToolbox ba ita-nia dispozisaun movel no mós haruka dadus ne'ebé halibur liu husi aplikasaun fila fali ba server. Atu hetan URL, uza website- https://kc.kobotoolbox.org."
4b,"Ita bele asesu ba ""Projetu Setting"" hodi klike iha ikon iha parte loos leten iha uma-laran."
4c,"Iha telemovel nia oin, haree mós ""Whare Formulariu""."
4d,"Lista ida kona-ba formuláriu levantamentu hotu ne'ebé implementa ona tenke aprezenta. Imprensa ""Selesaun hotu"" atu haruka formuláriu levantamentu hotu-hotu ba aplikasaun ka hili formuláriu sira ne'ebé ita hakarak atu iha liuhosi hili manualmente. Tuirmai, klike iha ""Haree didi'ak""."
4e,"Importante katak peskiza sira-ne'e atualiza beibeik hodi asegura katak versaun foun husi formuláriu ne'e uza daudaun atu labele hamosu problema iha kadoras dadus. Enkuantu formuláriu web automatikamente atualiza bainhira iha versaun foun ida husi levantamentu ne'e, utilizadór sira tenke konfigura ""atualizasaun automatika"" iha aplikasaun. Ita bele halo atualizasaun hodi ba ""Settings"" no ""Jestaun Formasaun""."
step5,Halibur dadus ho formuláriu levantamentu KoboToolBox
5a,"Halibur dadus hodi hili ""Start New Form"" iha aplikasaun KoboCollect. Haree instrusaun detalladu kona-ba halibur dadus uza aplikasaun iha Kobo Setup."
5b,"Iha livru ne'e nia rohan, hili ""Finaliza"". Se Ita hakarak atu hakerek formuláriu antes haruka, hili ""Salva hanesan esbosu."" Se Ita hili atu hakerek livru ""Salva hanesan esbosu"", Ita sei haruka Ita-nia formuláriu ba ""Drafts"". Iha ne'e, ita bele halo edisaun ba formuláriu sira molok ita hatama ba dadus finál. Bainhira Ita troka tiha ona, hili ""Halo to'o rohan"", hanesan temi ona iha leten. Bainhira ha'u hili tiha ona ""Finanlizasaun"", ida-ne'e sei halo tuir ""Ready atu haruka."" Iha versaun atuál Kobo nian, ita sei bele edita formuláriu sira iha ne'e. Maibé iha futuru, ita sei la bele edita bainhira sira remata tiha, no ""Ready atu haruka"" sei sai de'it fatin atu rai formuláriu sira ne'ebé remata tiha ona to'o ita iha ligasaun ba internét hodi haruka ba ita-nia servisu. Hili ""Haruka selesionadu"" atu haruka formuláriu hotu-hotu ba server."
5c,Dadus ne'ebé halibur ho aplikasaun ka formuláriu web sei hamoos no rai iha sistema armazenamentu dadus sentrál ida. Dadus primeiru hetan apoiu iha baze dadus KoboToolbox.
step6,Valida dadus iha Smartsheet
6a,Dadus hotu-hotu ne'ebé suli liu husi sistema dadus peska nian hetan validasaun iha Smartsheet. Matadalan ba instrusaun pasu-ba- pasu kompletu atu kompleta prosesu ne'e bele hetan iha pájina Validasaun Dadus.
6b,"Dadus haruka ba validasaun iha senáriu rua nia okos; 1) naran foun ba peskadór, sosa-nain, koletor dadus ka espésie sira aumenta manualmente iha Kobo Kollect, ka 2) valór numeriku ida monu liu husi limite ne'ebé estabelese ona. Tenke verifika antes inklui iha set dadus finál, haree iha dashboard, no aumenta ba arkivu referénsia sira."
6c,Kualkér naran foun ka dadus ne'ebé iha bandeira sei haruka ba tabela kontrolu kualidade relevante iha Smartsheet ba ekipa kampu sira atu omologa. Tabela kontrolu kualidade ne'e espesífiku ba parseiru no bele asesu liu husi pedidu atualizasaun ne'ebé haruka ba ita-nia e-mail ka liu husi vizita ligasaun Vizaun dinámika ne'ebé fornese ba ita-boot sira. Lideransa ekipa kampu nian sei hetan notifikasaun liuhosi email bainhira presiza hetan validasaun dadus iha tabela sira.
6d,"Validasaun naran foun: Bainhira tama naran foun ida durante kolesaun dadus, enkargus hirak-ne'e automatikamente refere ba arkivu referénsia sira atu avalia se iha ona arkivu referénsia sira, maibé partikularmente la hanesan. Kualkér artigu ne'ebé hanesan sei aumenta ba tabela iha koluna ""ref_match"" nia okos. Lideransa ekipa sira-ne'e fasil atu verifika se dadus ""foun"" ne'e iha ona fail referénsia sira. Lider ekipa sira sei kompleta koluna ""validasaun_opsaun"" iha tabela ida-idak liuhusi hili dadus foun, dadus ne'ebé referénsia liu husi arkivu referénsia (hanesan ""ref_match""), seluk, ka hasai tiha. Se ita hili ""seluk"" ida, ita tenke fó naran ida iha koluna ""seluk"". Karik ne'e hanesan naran espésie lokál foun ida-ne'ebé presiza hetan validasaun, sei fornese koluna ida ho foto ne'ebé foti durante kolesaun dadus ba referénsia."
6e,"Validasaun valór numeriku ho avizu limite: Ba kualkér dadus ne'ebé iha bandeira, lideransa ekipa nian sei kompleta validasaun dadus iha koluna ""korretu"" liuhusi hili Y ( sin, valór sira loos), N (no, valór sira la loos), ka hasai tiha (dadu sira labele hetan validasaun no tenke hasai tiha husi dadus master). Se la hili (N'), valór loloos ba númeru ka denominador tenke tama iha koluna ""korretu_numerador"" no ""korretu_denominador""."
6f,"Bainhira verifika tiha ona dadus iha tabela validasaun, ita sei aplika informasaun foun ba arkivu referénsia no fornese korretu nesesáriu ba dadus master."
step7,Atualiza tradusaun sira-nia kartaun
7a,Tradusaun ba língua hotu-hotu kompleta hodi edita surat-tahan ne'ebé apropriadu iha telemovel.
step8,Haree no uza dadus
8a,Análize no vizualizasaun automatiku sei disponivel liu husi dashboard padraun. Dadus sei disponivel liu husi download iha dashboard ka ligasaun direta ba baze dadus seluk.
p7,"Favór ida, fó-hatene ami se imi iha pergunta ruma."
p8,Obrigadu!
